aid,firstname,lastname
289,Tracey,Ullman
290,William,Hurt
291,Keanu,Reeves
292,Jamie,Lee
293,Tom,Arnold
294,Charlton,Heston
295,Kate,Winslet
296,Kathy,Bates
297,Michael,Keaton
298,Jack,Nicholson
299,Kim,Basinger
300,Billy,Dee
301,Jack,Palance
302,Geena,Davis
303,Catherine,O'Hara
304,Jeffrey,Jones
305,Burt,Young
306,Burgess,Meredith
307,Sarah,Jessica
308,Martin,Landau
309,Patricia,Arquette
310,Annette,Bening
311,Martin,Short
312,Natalie,Portman
313,Ewan,McGregor
314,Albert,Finney
315,Jessica,Lange
316,Helen,Bonham
317,Loudan,Wainwright
318,Robert,Guillaume
319,Ossie,Davis
320,Della,Reese
321,Stephen,Root
322,Paul,Abdul
323,Terry,Bradshaw
324,Drew,Carey
325,James,Earl
326,Jay,Leno
327,Robin,Williams
328,Garry,Marshall
329,Don,Knotts
330,Patrick,Stewart
331,Joan,Cusack
332,Adam,West
333,Christopher,Plummer
334,Jennifer,Connelly
335,Harvey,Keitel
336,Willem,Dafoe
337,Shirley,MacLaine
338,Jack,Warden
339,David,Suchet
340,Antonio,Banderas
341,Max,von
342,Rick,Moranis
343,Dick,Van
344,Joan,Rivers
345,Barbra,Streisand
346,Amy,Irving
347,Bob,Hoskins
348,Mel,Blanc
349,Frank,Sinatra
350,Carol,Kane
351,Anjelica,Huston
352,Raul,Julia
353,Diane,Keaton
354,Ted,Danson
355,Queen,Latifah
356,Noel,Coward
357,John,Gielgud
358,Ceasar,Romero
359,Peter,Lorre
360,Red,Skelton
361,Marlene,Dietrich
362,Buster,Keaton
363,Spencer,Tracy
364,Milton,Berle
365,Buddy,Hackett
366,Ethel,Merman
367,Mickey,Rooney
368,Phil,Silvers
369,Jonathan,Winters
370,Norman,Fell
371,Moe,Howard
372,Larry,Fine
373,Jimmy,Durante
374,Jack,Benny
375,Jerry,Lewis
376,Kim,Crosby
377,Jan-Michael,Vincent
378,Tony,Curtis
379,Charlie,Sheen
380,Lloyd,Bridges
381,Charlize,Theron
382,Kirsten,Dunst
383,Bebe,Neuwirth
384,Farrah,Fawcett
385,Janine,Turner
386,Eric,Idle
387,Terry,Gilliam
388,Michael,Palin
389,Laurence,Olivier
390,Grace,Kelly
391,Raymond,Burr
392,Joan,Fontaine
393,Franka,Potente
394,Hugh,Laurie
395,Jennifer,Tilly
396,Allyce,Beasley
397,Jane,Curtin
398,Danny,Glover
399,Gene,Hackman
400,Sharon,Stone
401,Liam,Neeson
402,Robert,Redford
403,Robert,Shaw
404,Ray,Walston
405,Christopher,Reeve
406,Ned,Beatty
407,Jackie,Cooper
408,Glenn,Ford
409,Margot,Kidder
410,Oliver,Reed
411,Uma,Thurman
412,Sting,
413,Ruth,Gordon
414,Bud,Cort
415,Martin,Lawrence
416,Ray,Liotta
417,Dennis,Leary
418,Clint,Eastwood
419,Hilary,Swank
420,Richard,Dreyfuss
421,Martin,Sheen
422,Warren,Beatty
423,Halle,Berry
424,Charles,Grodin
425,Dyan,Cannon
426,Rosie,O'Donnell
427,Elizabeth,Taylor
428,Richard,Moll
429,Gregory,Peck
430,Ingrid,Bergman
431,Humphrey,Bogart
432,Claude,Rains
433,Katharine,Hepburn
434,Sidney,Poitier
435,Telly,Savalas
436,Edward,Asner
437,George,Burns
438,Elliott,Gould
439,Bob,Hope
440,Richard,Pryor
441,Lee,Marvin
442,Ernest,Borgnine
443,Jim,Brown
444,Bob,Newhart
445,Mary,Steenburgen
446,Zooey,Daschanel
447,Mos,Def
448,Stephen,Fry
449,Susan,Sarandan
450,Tim,Curry
451,Meat,Loaf
452,Howard,Hesseman
453,Cybill,Shepard
454,Dorothy,Stratten
455,James,Brown
456,Cab,Calloway
457,Ray,Charles
458,Aretha,Franklin
459,Carrie,Fisher
460,Henry,Gibson
461,Harry,Morgan
462,Cheech,Marin
463,Tom,Poston
464,John,Thaw
465,Moira,Kelly
466,Diane,Lane
467,James,Woods
468,Charles,Chaplin
469,Jack,Lemmon
470,Al,Pacino
471,Kevin,Spacey
472,Madonna,
473,Dick,Van
474,Tuesday,Weld
475,Bob,Elliot
476,Ray,Gould
477,Alan,King
478,Fred,MacMurray
479,Sandra,Oh
480,James,Belushi
481,Tom,Selleck
482,Steve,Guttenberg
483,Ken,Takakura
484,Gregory,Hines
485,Sid,Caesar
486,David,Carradine
487,Roddy,McDowell
488,Ed,Begley
489,Dudley,Moore
490,Tom,Hulce
491,Anton,Rodgers
492,Daryl,Hannah
493,Shelley,Duvall
494,Damon,Wayans
495,Bette,Davis
496,James,Cagney
497,Charles,Laughton
498,Vincent,Price
499,William,Conrad
500,Sammy,Davis
501,Danny,Aiello
502,Mia,Farrow
503,Donald,Pleasance
504,Lily,Tomlin
505,Jody,Foster
506,Johanna,Gleeson
507,John,Carradine
508,Tony,Randall
509,Lynn,Redgrave
510,Marion,Cotillard
511,Angela,Lansbury
512,Linda,Ronstadt
513,Alex,Karros
514,Martin,Mull
515,Walter,Brennan
516,Ben,Cross
517,Ian,Holm
518,Orlando,Bloom
519,David,Keith
520,George,C.
521,Karl,Malden
522,Slim,Pickens
523,Zero,Mostel
524,Karen,Black
525,George,Kennedy
526,Linda,Blair
527,Myrna,Loy
528,Bruce,Dern
529,Barbara,Harris
530,Alfred,Hitchcock
531,Leslie,Nielsen
532,Priscilla,Presley
533,Raquel,Welch
534,Ricardo,Montalban
535,Nancy,Marchand
536,Olivia,de
537,Darren,McGavin
538,Dean,Martin
539,Jaqueline,Bisset
540,Helen,Hayes
541,John,Forsythe
542,Tippi,Hedren
543,Suzanne,Pleshette
544,Anthony,Perkins
545,Kim,Novak
546,Doris,Day
547,Edmund,Gwenn
548,Robert,Mitchum
549,Kathleen,Turner
550,Karen,Allen
551,John,Denver
552,David,Straithern
553,Anne,Heche
554,Frank,Oz
555,Laurence,Fishburne
556,Meryl,Streep
557,Bing,Crosby
558,Fred,Astaire
559,William,Baldwin
560,Robert,cabot
561,Jennifer,Jason
562,Rebecca,De
563,Mickey,Rourke
564,Lou,Gossett
565,Rob,Schneider
566,Mike,Myers
567,Eddie,Murphy
568,Cameron,Diaz
569,Harold,Ramis
570,Annie,Potts
571,Sophia,Loren
572,Werner,Klemperer
573,Craig,Ferguson
574,Jude,Law
575,Karl,Urban
576,Robert,Carlyle
577,Adam,Arkin
578,Harry,Shearer
579,George,Takei
580,Jennifer,Aniston
581,Harry,Connick
582,Vin,Diesel
583,Shirley,Jones
584,Ron,Howard
585,Chris,Rock
586,Billy,Barty
587,Imogene,Cocoa
588,Alice,Ghostley
589,Paul,Lynde
590,Jean,Stapleton
591,Albert,Brooks
592,Ellen,DeGeneres
593,Robert,Urich
594,Sebastian,Cabot
595,J.,Pat
596,Don,Rickles
597,Carroll,O'Connor
598,Bill,Nighy
599,Kelly,MacDonald
600,Woody,Harrelson
601,Freddie,Highmore
602,David,Kelly
603,Ian,Bannen
604,Adam,Beach
605,Weird,Al
606,Hector,Elizondo
607,Tim,Matheson
608,George,Wendt
609,Jose,Ferrer
610,Jack,Riley
611,Rene,Auberjonois
612,Richard,Mulligan
613,Robert,Stack
614,Penny,Marshall
615,Sebastian,Koch
616,Bobcat,Goldthwait
617,Nathan,Fillion
618,Patrick,Warburton
619,Dennis,Farina
620,Willie,Nelson
621,Robert,Prosky
622,Sally,Field
623,Jane,Fonda
624,Strother,Martin
625,Joanne,Woodward
626,Melanie,Griffith
627,Jack,Klugman
628,Edward,James
629,Ben,Affleck
630,Jeremy,Irons
631,Meg,Ryan
632,Rob,Lowe
633,Demi,Moore
634,Liev,Schreiber
635,Rodney,Dangerfield
636,Ted,Knight
637,Tom,Waits
638,Lindsay,Lohen
639,Virginia,Madsen
640,Thomas,Haden
641,Tom,Wilkinson
642,Carole,Lombard
643,Edward,G.
644,Lionel,Barrymore
645,Lee,Van
646,John,Larroquette
647,Judge,Reinhold
648,Dwayne,Johnson
649,Owen,Wilson
650,Marcia,Gay
651,Ellen,Burstyn
652,Will,Patton
653,Robert,Vaughn
654,Shelley,Winters
655,Larry,Hagman
656,Richard,Chamberlain
657,Robert,Wagner
658,Claudia,Cardinale
659,Cliff,Robertson
660,Jamie,Foxx
661,Neil,Patrick
662,Lauren,Graham
663,Mick,Jagger
664,Gary,Farmer
665,Wes,Studi
666,Richard,Schiff
667,Tea,Leoni
668,Maximilian,Schell
669,Andie,MacDowell
670,Dennis,Hopper
671,Sandra,Bullock
672,Jeff,Daniels
673,Graham,Greene
674,Robert,Webber
675,Bob,Uecker
676,Val,Kilmer
677,Michelle,Pfeiffer
678,Wesley,Snipes
679,Omar,Shariff
680,Warwick,Davis
681,Guy,Pearce
682,Joe,Pantoliano
683,Ben,Kingsley
684,Lee,Remick
685,Royal,Dano
686,Mary,Kay
687,Ariana,Richards
688,Tom,Berenger
689,Meg,Tilly
690,JoBeth,Williams
691,Stan,Laurel
692,Oliver,Hardy
693,Mads,Mikkelsen
694,Shirley,Henderson
695,Luke,Wilson
696,Libuse,Safrankova
697,Zdenek,Sverak
698,Toni,Collette
699,William,Powell
700,Randolph,Scott
701,Hugh,Grant
702,Cambell,Scott
703,Rob,Brydon
704,Benny,Hill
705,Greg,Kinnear
706,Sam,Elliott
707,J.,K.
708,Ryan,Reynolds
709,Patrick,Swayze
710,Emilia,Fox
711,Paul,Sorvino
712,John,Leguizamo
713,Pete,Postlethwaite
714,Barbara,Stanwyck
715,Ronald,Reagan
716,Judith,Anderson
717,Damian,Lewis
718,Alan,Tudyk
719,Peter,Vaughn
720,Rupert,Graves
721,Ron,Glass
722,Patricia,Neal
723,Gerard,Depardieu
724,Gary,Busey
725,Charles,Dance
726,Dianna,Rigg
727,Bruce,Greenwood
728,Jasmine,Guy
729,Stanley,Tucci
730,Lili,Taylor
731,Edward,Herrmann
732,Saul,Rubinek
733,Lucas,Haas
734,Matthew,McConaughey
735,Chiwetel,Ejiofor
736,Tara,Fitzgerald
737,Philip,Jackson
738,Jim,Carter
739,Audrey,Tautou
740,Jamel,Debbouze
741,Meg,Foster
742,Louise,Fletcher
743,Celia,Imrie
744,Geoffrey,Rush
745,Catherine,Keener
746,Richard,Roundtree
747,Richard,Kind
748,Naomi,Watts
749,Lucy,Punch
750,Jamie,Farr
751,John,Houseman
752,Lee,Majors
753,Pat,McCormick
754,Raymond,Massey
755,Leonard,Nimoy
756,Jim,Varney
