mid,title,year,grade
209,What the #$*! Do We Know?!,2004,1
210,Lord of the Rings: The Return of the King,2001,4
211,King Kong,2005,6
212,King Kong,1933,8
213,First Blood,1982,3
214,Alien,1986,6
215,The Abyss,1989,5
216,I Love You to Death,1990,7
217,True Lies,1994,5
218,Titanic,1997,3
219,Batman,1989,5
220,Beetle Juice,1988,8
221,Rocky,1975,7
222,Ed Wood,1994,9
223,Mars Attacks!,1996,6
224,Dinosaur,2000,4
225,Ice Age,2002,7
226,The Polar Express,2004,5
227,Robots,2005,3
228,Chicken Little,2005,3
229,9,2009,5
230,National Treasure,2004,7
231,Guarding Tess,1994,4
232,Being There,1979,9
233,The Man from Snowy River,1982,8
234,Legends of the Fall,1994,7
235,Harry and the Hendersons,1987,6
236,Braveheart,1991,6
237,Master and Commander,2003,3
238,The Mask of Zorro,1998,6
239,Conan the Barbarian,1982,4
240,The Secret of Roan Inish,1994,8
241,Spaceballs,1987,5
242,Yentl,1983,3
243,Who Framed Roger Rabbit,1988,6
244,The Greatest Lover in the World,1977,4
245,Addam's Family Values,1993,7
246,Manhattan Murder Mystery,1993,7
247,Mad Money,2008,4
248,Ben-Hur,1959,6
249,Around the World in 80 Days,2004,5
250,Around the World in 80 Days,1950,5
251,"It's a Mad, Mad, Mad, Mad World",1963,5
252,Goldfinger,1964,4
253,Joyeux Noel,2005,10
254,Tarzan in Manhattan,1989,2
255,Mrs. Henderson Presents,1995,9
256,Hot Shots!,1991,4
257,Hot Shots! Part Deux,1993,4
258,Might Joe Young,1998,3
259,Jumanji,1995,6
260,Jurassic Park,1993,7
261,Dr. T and the Women,2000,7
262,Monty Python and the Holy Grail,1975,6
263,Life of Brian,1979,5
264,A Fish Called Wanda,1988,8
265,Rebecca,1940,10
266,Rear Window,1954,10
267,Suspicion,1941,8
268,Stuart Little,1999,5
269,Mouse Hunt,1997,4
270,Antz,1998,6
271,Broken Flowers,2005,1
272,Rob Roy,1995,3
273,Tulpan,2008,8
274,Broken Arrow,1996,4
275,Hook,1991,3
276,Godzilla,1998,5
277,The Sting,1973,10
278,Revenge of the Nerds,1984,6
279,Superman: The Movie,1978,4
280,Chicken Run,2000,5
281,The Adventures of Baron Munchausen,1988,5
282,Harold and Maude,1971,10
283,Wild Hogs,2007,5
284,Operation Dumbo Drop,1995,5
285,Every Which Way But Loose,1978,4
286,Million Dollar Baby,2004,10
287,Jaws,1975,6
288,The American President,1995,6
289,Bulworth,1998,9
290,Heaven Can Wait,1978,6
291,The Flintstones,1994,6
292,Deathtrap,1982,8
293,Spellbound,1945,8
294,Casablanca,1942,7
295,The African Queen,1951,7
296,The Invisible Man,1933,6
297,Notorious,1946,6
298,Bringing Up Baby,1938,7
299,Guess Who's Coming to Dinner,1967,9
300,Adam's Rib,1949,5
301,The Slender Thread,1965,9
302,The Muppet Movie,1979,5
303,The Dirty Dozen,1967,7
304,Elf,2003,4
305,Failure to Launch,2006,5
306,The Hitchhiker's Guide to the Galaxy,2005,6
307,Yes Man,2008,6
308,The Shawshank Redemption,1994,9
309,Bull Durham,1988,6
310,The Rocky Horror Picture Show,1975,8
311,The Hunt for Red October,1990,8
312,Americathon,1979,3
313,Doctor Detroit,1983,3
